"","sp","Date","Sum","Type","Season"
"1","CYGOLO","08.04.06",380,"Local","Spring"
"2","CYGOLO","26.11.93",230,"Local","Autumn"
"3","CYGOLO","08.12.02",230,"Local","Autumn"
"4","CYGOLO","11.03.03",72,"Migr","Spring"
"5","CYGOLO","31.12.02",47,"Migr","Autumn"
"6","CYGCOL","08.04.82",4,"Local","Spring"
"7","CYGCOL","04.10.84",7,"Local","Autumn"
"8","CYGCOL","05.10.84",7,"Local","Autumn"
"9","CYGCOL","20.04.01",4,"Migr","Spring"
"10","CYGCOL","20.03.02",4,"Migr","Spring"
"11","CYGCOL","09.04.06",4,"Migr","Spring"
"12","CYGCOL","29.09.84",43,"Migr","Autumn"
"13","CYGCYG","08.02.14",130,"Local","Spring"
"14","CYGCYG","21.12.12",78,"Local","Autumn"
"15","CYGCYG","05.04.11",61,"Migr","Spring"
"16","CYGCYG","01.12.12",352,"Migr","Autumn"
"17","ANSFAB","12.05.91",2,"Local","Spring"
"18","ANSFAB","15.04.98",2,"Local","Spring"
"19","ANSFAB","12.04.99",2,"Local","Spring"
"20","ANSFAB","10.09.00",12,"Local","Autumn"
"21","ANSFAB","19.03.17",223,"Migr","Spring"
"22","ANSFAB","01.10.06",658,"Migr","Autumn"
"23","ANSBRA","13.04.16",6,"Migr","Spring"
"24","ANSBRA","29.09.08",3,"Migr","Autumn"
"25","ANSALB","07.05.94",4,"Local","Spring"
"26","ANSALB","06.10.89",15,"Local","Autumn"
"27","ANSALB","03.05.91",88,"Migr","Spring"
"28","ANSALB","01.10.17",1824,"Migr","Autumn"
"29","ANSANS","27.05.00",35,"Local","Spring"
"30","ANSANS","21.05.07",35,"Local","Spring"
"31","ANSANS","26.08.07",950,"Local","Autumn"
"32","ANSANS","01.04.11",248,"Migr","Spring"
"33","ANSANS","29.09.04",1445,"Migr","Autumn"
"34","ANSCAE","01.06.88",2,"Migr","Spring"
"35","BRACAN","11.04.13",38,"Local","Spring"
"36","BRACAN","12.04.13",38,"Local","Spring"
"37","BRACAN","06.12.05",42,"Local","Autumn"
"38","BRACAN","07.12.05",42,"Local","Autumn"
"39","BRACAN","15.04.13",158,"Migr","Spring"
"40","BRACAN","14.11.09",269,"Migr","Autumn"
"41","BRALEU","19.05.07",130,"Local","Spring"
"42","BRALEU","02.10.16",450,"Local","Autumn"
"43","BRALEU","16.05.14",10446,"Migr","Spring"
"44","BRALEU","26.09.12",25131,"Migr","Autumn"
"45","BRABER","29.05.13",1500,"Local","Spring"
"46","BRABER","11.10.84",210,"Local","Autumn"
"47","BRABER","25.05.94",26888,"Migr","Spring"
"48","BRABER","01.10.08",3070,"Migr","Autumn"
"49","TADTAD","04.04.01",20,"Local","Spring"
"50","TADTAD","11.07.97",16,"Local","Autumn"
"51","TADTAD","12.07.97",16,"Local","Autumn"
"52","TADTAD","13.07.97",16,"Local","Autumn"
"53","TADTAD","13.04.81",10,"Migr","Spring"
"54","TADTAD","09.04.82",10,"Migr","Spring"
"55","TADTAD","17.05.99",10,"Migr","Spring"
"56","TADTAD","19.04.00",10,"Migr","Spring"
"57","TADTAD","06.08.99",8,"Migr","Autumn"
"58","TADTAD","03.07.13",8,"Migr","Autumn"
"59","ANAPEN","20.04.02",300,"Local","Spring"
"60","ANAPEN","10.09.17",600,"Local","Autumn"
"61","ANAPEN","14.04.03",283,"Migr","Spring"
"62","ANAPEN","03.10.04",7652,"Migr","Autumn"
"63","ANASTR","13.05.14",11,"Local","Spring"
"64","ANASTR","25.05.16",11,"Local","Spring"
"65","ANASTR","22.06.06",12,"Local","Autumn"
"66","ANASTR","12.04.09",8,"Migr","Spring"
"67","ANASTR","12.10.02",3,"Migr","Autumn"
"68","ANASTR","06.09.04",3,"Migr","Autumn"
"69","ANASTR","21.09.10",3,"Migr","Autumn"
"70","ANASTR","19.08.14",3,"Migr","Autumn"
"71","ANASTR","18.08.15",3,"Migr","Autumn"
"72","ANACRE","23.04.13",500,"Local","Spring"
"73","ANACRE","01.09.15",450,"Local","Autumn"
"74","ANACRE","26.04.03",164,"Migr","Spring"
"75","ANACRE","28.08.01",589,"Migr","Autumn"
"76","ANAPLA","16.04.06",650,"Local","Spring"
"77","ANAPLA","21.12.12",520,"Local","Autumn"
"78","ANAPLA","08.04.10",712,"Migr","Spring"
"79","ANAPLA","07.11.99",545,"Migr","Autumn"
"80","ANAACU","23.04.13",61,"Local","Spring"
"81","ANAACU","17.09.00",49,"Local","Autumn"
"82","ANAACU","20.04.11",178,"Migr","Spring"
"83","ANAACU","03.10.04",541,"Migr","Autumn"
"84","ANAQUE","04.05.14",7,"Local","Spring"
"85","ANAQUE","31.07.89",10,"Local","Autumn"
"86","ANAQUE","06.05.79",6,"Migr","Spring"
"87","ANAQUE","27.08.07",6,"Migr","Autumn"
"88","ANACLY","26.04.09",38,"Local","Spring"
"89","ANACLY","09.09.17",50,"Local","Autumn"
"90","ANACLY","03.05.04",122,"Migr","Spring"
"91","ANACLY","28.08.01",132,"Migr","Autumn"
"92","AYTFER","27.04.79",20,"Local","Spring"
"93","AYTFER","27.09.98",6,"Local","Autumn"
"94","AYTFER","11.04.81",27,"Migr","Spring"
"95","AYTFER","20.04.85",27,"Migr","Spring"
"96","AYTFER","17.10.80",60,"Migr","Autumn"
"97","AYTFUL","18.03.09",720,"Local","Spring"
"98","AYTFUL","10.10.13",300,"Local","Autumn"
"99","AYTFUL","29.09.17",300,"Local","Autumn"
"100","AYTFUL","20.04.11",215,"Migr","Spring"
"101","AYTFUL","21.09.17",505,"Migr","Autumn"
"102","AYTMAR","23.01.09",61,"Local","Spring"
"103","AYTMAR","23.10.88",100,"Local","Autumn"
"104","AYTMAR","24.10.88",100,"Local","Autumn"
"105","AYTMAR","28.10.88",100,"Local","Autumn"
"106","AYTMAR","18.04.83",153,"Migr","Spring"
"107","AYTMAR","21.09.17",216,"Migr","Autumn"
"108","SOMMOL","11.04.80",17000,"Local","Spring"
"109","SOMMOL","19.09.92",30000,"Local","Autumn"
"110","SOMMOL","05.04.11",25830,"Migr","Spring"
"111","SOMMOL","28.09.07",2708,"Migr","Autumn"
"112","SOMSPE","30.04.80",2,"Migr","Spring"
"113","SOMSPE","11.04.83",2,"Migr","Spring"
"114","SOMSPE","06.04.94",2,"Migr","Spring"
"115","POLSTE","03.05.15",65,"Local","Spring"
"116","POLSTE","30.11.95",5,"Local","Autumn"
"117","POLSTE","05.12.95",5,"Local","Autumn"
"118","POLSTE","10.05.10",90,"Migr","Spring"
"119","POLSTE","10.11.03",10,"Migr","Autumn"
"120","CLAHYE","16.05.85",25000,"Local","Spring"
"121","CLAHYE","18.05.85",25000,"Local","Spring"
"122","CLAHYE","19.10.09",30000,"Local","Autumn"
"123","CLAHYE","01.11.09",30000,"Local","Autumn"
"124","CLAHYE","19.05.03",13889,"Migr","Spring"
"125","CLAHYE","05.10.14",38408,"Migr","Autumn"
"126","MELNIG","06.05.16",500,"Local","Spring"
"127","MELNIG","04.07.12",160,"Local","Autumn"
"128","MELNIG","06.05.16",8690,"Migr","Spring"
"129","MELNIG","25.09.11",1731,"Migr","Autumn"
"130","MELFUS","05.01.06",75,"Local","Spring"
"131","MELFUS","25.12.08",90,"Local","Autumn"
"132","MELFUS","04.06.12",90,"Local","Autumn"
"133","MELFUS","27.05.17",686,"Migr","Spring"
"134","MELFUS","01.06.00",150,"Migr","Autumn"
"135","BUCCLA","16.04.06",1567,"Local","Spring"
"136","BUCCLA","02.10.16",850,"Local","Autumn"
"137","BUCCLA","05.04.11",418,"Migr","Spring"
"138","BUCCLA","29.05.03",860,"Migr","Autumn"
"139","MERALB","13.04.84",28,"Local","Spring"
"140","MERALB","15.02.14",28,"Local","Spring"
