FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
kyhmyjoutsen,knölsvan,Mute Swan,Cygnus olor,CYGOLO,2,1,0,0,2,47,151,196,46,0,1,CYGOLO,x,,182
pikkujoutsen,mindre sångsvan,Tundra Swan,Cygnus columbianus,CYGCOL,3,1,0,0,2,47,151,196,46,1,1,CYGCOL,x,,
laulujoutsen,sångsvan,Whooper Swan,Cygnus cygnus,CYGCYG,6,1,0,0,2,47,151,196,46,0,1,CYGCYG,x,,
metsähanhi,sädgås,Bean Goose,Anser fabalis,ANSFAB,9,1,0,0,2,47,181,196,46,1,1,ANSFAB,x,,
lyhytnokkahanhi,spetsbergsgås,Pink-footed Goose,Anser brachyrhynchus,ANSBRA,13,1,0,0,2,47,181,196,365,1,1,ANSBRA,,,
tundrahanhi,bläsgås,Greater White-fronted Goose,Anser albifrons,ANSALB,14,1,0,0,2,47,181,196,46,1,1,ANSALB,x,,
kiljuhanhi,fjällgås,Lesser White-fronted Goose,Anser erythropus,ANSERY,19,1,0,0,2,47,181,196,365,1,1,ANSERY,,,
merihanhi,grågås,Greylag Goose,Anser anser,ANSANS,22,1,0,0,2,47,151,196,46,0,1,ANSANS,x,,
lumihanhi,snögås,Snow Goose,Anser caerulescens,ANSCAE,27,1,0,0,2,47,181,196,365,1,1,ANSCAE,,,
kanadanhanhi,kanadagås,Canada Goose,Branta canadensis,BRACAN,34,1,0,0,2,47,151,196,46,1,1,BRACAN,x,,
valkoposkihanhi,vitkindad gås,Barnacle Goose,Branta leucopsis,BRALEU,39,1,0,0,2,47,151,196,46,0,1,BRALEU,x,,
sepelhanhi,prutgås,Brant Goose,Branta bernicla,BRABER,41,1,0,0,2,47,181,196,365,0,1,BRABER,x,,
punakaulahanhi,rödhalsad gås,Red-breasted Goose,Branta ruficollis,BRARUF,45,1,0,0,2,47,181,196,365,1,1,BRARUF,,,
ruostesorsa,rostand,Ruddy Shelduck,Tadorna ferruginea,TADFER,50,1,0,0,2,47,181,182,365,1,1,TADFER,,,
ristisorsa,gravand,Common Shelduck,Tadorna tadorna,TADTAD,51,1,0,0,2,47,181,182,365,0,1,TADTAD,,,
mandariinisorsa,mandarinand,Mandarin Duck,Aix galericulata,AIXGAL,53,1,0,0,2,47,181,182,365,1,1,AIXGAL,,,
haapana,bläsand,Eurasian Wigeon,Anas penelope,ANAPEN,55,1,0,0,2,47,151,152,46,1,1,ANAPEN,x,,
harmaasorsa,snatterand,Gadwall,Anas strepera,ANASTR,63,1,0,0,2,47,166,167,365,1,1,ANASTR,x,,
tavi,kricka,Eurasian Teal,Anas crecca,ANACRE,66,1,0,0,2,60,151,152,59,1,1,ANACRE,x,,
sinisorsa,gräsand,Mallard,Anas platyrhynchos,ANAPLA,71,1,0,0,2,47,135,136,46,0,1,ANAPLA,x,,
jouhisorsa,stjärtand,Northern Pintail,Anas acuta,ANAACU,75,1,0,0,2,60,181,182,59,1,1,ANAACU,,,
heinätavi,årta,Garganey,Anas querquedula,ANAQUE,76,1,0,0,2,48,181,182,365,1,1,ANAQUE,,,
lapasorsa,skedand,Northern Shoveler,Anas clypeata,ANACLY,80,1,0,0,2,47,151,152,365,1,1,ANACLY,,,
punasotka,brunand,Common Pochard,Aythya ferina,AYTFER,86,1,0,0,2,60,166,167,365,1,1,AYTFER,,,
amerikantukkasotka,ringand,Ring-necked Duck,Aythya collaris,AYTCOL,88,1,0,0,2,47,181,182,365,1,1,AYTCOL,,,
tukkasotka,vigg,Tufted Duck,Aythya fuligula,AYTFUL,91,1,0,0,2,60,160,161,59,0,1,AYTFUL,x,,
lapasotka,bergand,Greater Scaup,Aythya marila,AYTMAR,93,1,0,0,2,60,181,182,59,1,1,AYTMAR,,,
haahka,ejder,Common Eider,Somateria mollissima,SOMMOL,98,1,0,0,1,47,130,131,46,1,1,SOMMOL,x,,
kyhmyhaahka,praktejder,King Eider,Somateria spectabilis,SOMSPE,101,1,0,0,2,47,181,182,46,1,1,SOMSPE,,,
allihaahka,alförrädare,Steller's Eider,Polysticta stelleri,POLSTE,103,1,0,0,2,60,181,182,59,1,1,POLSTE,,,
alli,alfågel,Long-tailed Duck,Clangula hyemalis,CLAHYE,105,1,0,0,2,47,181,182,365,1,1,CLAHYE,x,,
mustalintu,sjöorre,Common Scoter,Melanitta nigra,MELNIG,106,1,0,0,2,60,166,167,59,1,1,MELNIG,x,,
pilkkaniska,vitnackad svärta,Surf Scoter,Melanitta perspicillata,MELPER,109,1,0,0,2,48,181,182,365,1,1,MELPER,,,
pilkkasiipi,svärta,Velvet Scoter,Melanitta fusca,MELFUS,110,1,0,0,2,60,151,152,59,0,1,MELFUS,,,
kyhmypilkkasiipi,knölsvärta,White-winged Scoter,Melanitta deglandi,MELDEG,112,1,0,0,2,47,181,182,365,1,1,MELDEG,,,
telkkä,knipa,Common Goldeneye,Bucephala clangula,BUCCLA,117,1,0,0,2,60,125,126,59,1,1,BUCCLA,x,,
uivelo,salskrake,Smew,Mergellus albellus,MERALB,119,1,0,0,2,60,151,152,59,1,1,MERALB,,,
tukkakoskelo,småskrake,Red-breasted Merganser,Mergus serrator,MERSER,121,1,0,0,2,47,151,182,365,0,1,MERSER,x,,
isokoskelo,storskrake,Common Merganser,Mergus merganser,MERMER,122,1,0,0,2,47,135,136,46,0,1,MERMER,x,,
viiriäinen,vaktel,Common Quail,Coturnix coturnix,COTCOT,133,1,0,0,2,47,181,196,365,1,1,COTCOT,,,
pyy,järpe,Hazel Grouse,Tetrastes bonasia,TETBON,137,1,0,0,2,47,181,196,365,1,1,TETBON,,,
teeri,orre,Black Grouse,Tetrao tetrix,TETRIX,143,1,0,0,2,60,151,196,365,1,1,TETRIX,,,
metso,tjäder,Western Capercaillie,Tetrao urogallus,TETURO,145,1,0,0,2,47,181,196,365,1,1,TETURO,,,
peltopyy,rapphöna,Grey Partridge,Perdix perdix,PERPER,147,1,0,0,2,47,181,196,365,1,1,PERPER,,,
fasaani,fasan,Common Pheasant,Phasianus colchicus,PHACOL,148,1,0,0,2,47,181,196,365,1,1,PHACOL,,,
kaakkuri,smålom,Red-throated Loon,Gavia stellata,GAVSTE,150,1,0,0,2,60,166,196,59,1,1,GAVSTE,x,,
kuikka,storlom,Black-throated Loon,Gavia arctica,GAVARC,151,1,0,0,2,60,166,196,365,1,1,GAVARC,,,
amerikanjääkuikka,svartnäbbad islom,Great Northern Loon,Gavia immer,GAVIMM,153,1,0,0,2,47,166,196,365,1,1,GAVIMM,,,
jääkuikka,vitnäbbad islom,Yellow-billed Loon,Gavia adamsii,GAVADA,154,1,0,0,2,47,166,196,365,1,1,GAVADA,,,
pikku-uikku,smådopping,Little Grebe,Tachybaptus ruficollis,TACRUF,157,1,0,0,2,47,181,182,365,1,1,TACRUF,,,
silkkiuikku,skäggdopping,Great Crested Grebe,Podiceps cristatus,PODCRI,158,1,0,0,2,60,151,182,59,1,1,PODCRI,,,
härkälintu,gråhakedopping,Red-necked Grebe,Podiceps grisegena,PODGRI,159,1,0,0,2,60,151,182,59,1,1,PODGRI,,,
mustakurkku-uikku,svarthakedopping,Horned Grebe,Podiceps auritus,PODAUR,161,1,0,0,2,60,151,182,59,1,1,PODAUR,,,
merimetso,storskarv,Great Cormorant,Phalacrocorax carbo,PHACAR,176,1,0,0,2,47,151,182,365,1,1,PHACAR,x,,
kaulushaikara,rördrom,Eurasian Bittern,Botaurus stellaris,BOTSTE,184,1,0,1,2,47,181,182,365,1,1,BOTSTE,x,L,
jalohaikara,ägretthäger,Great Egret,Egretta alba,EGRALB,194,1,0,0,2,47,181,182,365,1,1,EGRALB,,,
harmaahaikara,gråhäger,Grey Heron,Ardea cinerea,ARDCIN,196,1,0,0,2,60,151,168,59,1,1,ARDCIN,x,,
mustahaikara,svart stork,Black Stork,Ciconia nigra,CICNIG,200,1,0,0,2,47,181,182,365,1,1,CICNIG,,,
kattohaikara,vit stork,White Stork,Ciconia ciconia,CICCIC,202,1,0,0,2,47,181,182,365,1,1,CICCIC,,,
pronssi-iibis,bronsibis,Glossy Ibis,Plegadis falcinellus,PLEFAL,205,1,0,0,2,47,181,182,365,1,1,PLEFAL,,,
