"","sp","slopeLong","slopeShort","Nbegin","Nmed","Nend","NbeginS","NmedS","NendS","NbeginA","NmedA","NendA","sphen_begin","sphen_med","sphen_end","aphen_begin","aphen_med","aphen_end","Ntotal"
"1","CYGOLO",83,-7,8783.42948138033,17357.4013347763,16080.8904761905,2889.39584243156,6622.86363636364,5931.2619047619,2311.97282500781,5986.23636363636,6419.09523809524,91,85,86,306,354,317,373370
"2","CYGCOL",25,-6,11.8351260839264,15.7270202020202,14.7380952380952,0.655688854489164,2.09090909090909,1.14285714285714,11.1794372294372,12,13.5952380952381,NA,NA,NA,288,300,294,515
"3","CYGCYG",59,4,1069.22309861621,1625.31089466089,1695.55238095238,223.129952091252,384.181818181818,366.142857142857,331.81420161366,584.181818181818,495,99,89,85,306,316,319,35957
"4","ANSFAB",76,78,1015.96871149576,1007.2,1789.30952380952,41.3782353052864,43.8363636363636,137.095238095238,974.590476190476,963.363636363636,1652.21428571429,110,106,82,271,274,275,44448
"5","ANSBRA",1217,159,0.142857142857143,0.727272727272727,1.88095238095238,0,0.272727272727273,1.5952380952381,0.142857142857143,0.454545454545455,0.285714285714286,NA,NA,NA,NA,NA,NA,24
"6","ANSALB",245,15,534.863899945943,1601.83636363636,1847.90476190476,13.1400904221338,13.3818181818182,41.5952380952381,521.72380952381,1588.45454545455,1806.30952380952,123,105,104,274,283,274,41556
"7","ANSERY",NA,-100,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,NA,NA,NA,NA,NA,NA,1
"8","ANSANS",92,-25,1603.30136349289,4129.11212121212,3086.09523809524,604.813821296523,1082.08181818182,1188.45238095238,900.223194534224,2737.35454545455,1689.5,105,94,91,269,271,269,92681
"9","ANSCAE",14,Inf,0.125,0,0.142857142857143,0.125,0,0.142857142857143,0,0,0,NA,NA,NA,NA,NA,NA,3
"10","BRACAN",399,28,54.4714096532982,211.864646464646,271.642857142857,32.253377440413,89.1272727272727,156.119047619048,6.6406512605042,100.290909090909,74.8571428571429,101,92,98,337,318,328,4818
"11","BRALEU",3790,515,1073.49354646042,6784.08282828283,41754.2857142857,311.085173198834,1624.63636363636,15586.6904761905,747.527222467935,4862.89090909091,25588.0238095238,142,132,137,284,277,273,383777
"12","BRABER",-18,-17,15452.5020381364,15382.5242424242,12704.5952380952,14855.8889957265,14015.7565656566,11136.4523809524,595.50510590201,1366.45454545455,1568.14285714286,145,146,147,280,275,270,475026
"13","BRARUF",86,57,0.0769230769230769,0.0909090909090909,0.142857142857143,0.0769230769230769,0.0909090909090909,0.142857142857143,0,0,0,NA,NA,NA,NA,NA,NA,3
"14","TADFER",193,Inf,0.0976190476190476,0,0.285714285714286,0,0,0,0.0976190476190476,0,0.285714285714286,NA,NA,NA,NA,NA,NA,4
"15","TADTAD",-9,-12,233.408732985281,239.937373737374,211.857142857143,206.53081094602,216.971717171717,203.571428571429,26.877922039261,22.3747474747475,8.28571428571428,114,110,109,220,233,223,7401
"16","AIXGAL",-100,NA,0.173955108359133,0,0,0.173955108359133,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3
"17","ANAPEN",125,-5,3649.0921354746,8677.94444444445,8210.64285714286,569.021996025131,1060.26363636364,836.857142857143,3079.15347278281,7617.29898989899,7373.78571428571,114,106,105,262,265,259,214801
"18","ANASTR",1386,72,8.5779984463421,74.079797979798,127.428571428571,6.04251758733183,44.0363636363636,102.095238095238,2.53548085901027,29.8434343434343,23.5,122,119,123,220,215,254,1828
"19","ANACRE",122,26,1250.06761430004,2209.10202020202,2773.57142857143,436.941790008237,953.090909090909,1070.78571428571,812.125824291807,1254.02323232323,1702.16666666667,115,115,113,234,234,240,64638
"20","ANAPLA",17,-21,11694.2151138164,17408.3422438672,13737.4523809524,1609.4581801927,4085.05454545455,2445.7619047619,7985.0513780681,9403.32929292929,8687.16666666667,100,93,93,268,253,244,408816
"21","ANAACU",26,-26,485.843009115068,828.756565656566,611.380952380952,108.599204987479,174.974747474747,189.309523809524,376.752137460922,652.927272727273,421.071428571429,115,113,110,252,249,252,22544
"22","ANAQUE",-34,19,18.708747547602,10.4545454545455,12.4047619047619,12.5315263082291,8.27272727272727,10.9761904761905,6.17722123937294,2.18181818181818,1.42857142857143,126,127,124,218,236,244,503
"23","ANACLY",95,24,382.632240338781,601.758585858586,748,160.026770073751,346.363636363636,378.952380952381,222.605470265029,255.394949494949,369.047619047619,126,123,124,241,233,238,18216
"24","AYTFER",-72,-43,81.7477446229381,39.5646464646465,22.5238095238095,63.1783014070553,26.1272727272727,18.3095238095238,17.3194432158828,12.4555555555556,3.71428571428571,109,111,105,260,258,257,1917
"25","AYTCOL",Inf,Inf,0,0,0.571428571428571,0,0,0.571428571428571,0,0,0,NA,NA,NA,NA,NA,NA,4
"26","AYTFUL",35,-2,4650.97260851464,6398.98708513709,6290.94285714286,2592.59194866451,2800.73636363636,2170.09523809524,1998.05446937394,3202.34242424242,3831.14285714286,122,119,117,219,255,260,178136
"27","AYTMAR",-10,-12,387.443387722529,397.08676046176,348.585714285714,69.1226252548621,102.136363636364,65.1666666666667,289.820762467666,167.909090909091,251.047619047619,123,121,119,301,317,295,11195
"28","SOMMOL",-5,-7,52760.202956323,53821.0545454545,50192.6904761905,45740.3810469544,44779.5272727273,42274.9047619048,7016.42905222572,9040.45252525253,7917.5,105,102,105,199,176,171,8897352
"29","SOMSPE",-73,-57,4.27639174121372,2.72727272727273,1.16666666666667,4.27639174121372,2.72727272727273,1.16666666666667,0,0,0,116,111,106,NA,NA,NA,103
"30","POLSTE",-55,-72,37.9160697274861,60.8974747474747,17.047619047619,30.573212584629,57.6454545454545,15,1.36666666666667,1.18181818181818,0.285714285714286,128,125,123,NA,NA,NA,1273
"31","CLAHYE",27,35,109114.031158019,102367.244733045,138052.404761905,53514.6569568375,40524.4777777778,42628.0714285714,54333.0749948323,55834.0457070707,91667.5714285714,132,124,106,289,294,293,3814269
"32","MELNIG",803,24,1252.73519220717,9102.57554112554,11308.2619047619,1030.33882020542,8402.69090909091,10026.619047619,218.903514858894,658.912121212121,1266.71428571429,137,132,127,253,250,250,198194
"33","MELPER",NA,-100,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,NA,NA,NA,NA,NA,NA,1
"34","MELFUS",19,20,2155.97074108812,2124.14137806638,2558.09523809524,1226.67364813119,1358.92727272727,1711.71428571429,911.519315179145,600.736363636364,752.809523809524,131,127,131,172,212,212,72597
"35","MELDEG",Inf,Inf,0,0,0.857142857142857,0,0,0.857142857142857,0,0,0,NA,NA,NA,NA,NA,NA,6
"36","BUCCLA",50,32,15222.6755425775,17290.6886363636,22798.4523809524,4286.98426173929,5689.85454545455,4992.2619047619,10290.9396935366,8936.99191919192,13087.9047619048,101,92,88,289,285,294,530811
"37","MERALB",257,45,64.0213689690083,157.331168831169,228.857142857143,38.5217735695677,112.763636363636,89.8571428571429,7.87340492325012,25.3111111111111,44.0238095238095,103,96,99,380,301,394,4055
"38","MERSER",34,7,2647.08534320856,3315.97067099567,3547.65238095238,1475.64363849515,2085.94545454545,2462.2380952381,780.5602773989,867.437626262626,774.928571428571,122,114,107,271,271,272,101093
"39","MERMER",-9,-25,20187.921277308,24526.3708874459,18450.119047619,4282.67310910624,5680.89090909091,3791.42857142857,12019.3366602653,14755.9731601732,12501.6904761905,97,92,97,283,158,158,594227
"40","COTCOT",-100,-100,0.175,0.190909090909091,0,0,0,0,0.175,0.0909090909090909,0,NA,NA,NA,NA,NA,NA,4
"41","TETBON",-100,-100,0.380952380952381,0.454545454545455,0,0,0,0,0.380952380952381,0.363636363636364,0,NA,NA,NA,NA,NA,NA,13
"42","TETRIX",57,40,20.7879045490114,23.3909090909091,32.6666666666667,5.27121409292462,13.6363636363636,17.4761904761905,13.6904999798963,9.09090909090909,11.0952380952381,114,111,112,291,292,300,843
"43","TETURO",-11,70,0.348214285714286,0.181818181818182,0.30952380952381,0.0625,0,0.142857142857143,0.285714285714286,0.181818181818182,0.166666666666667,NA,NA,NA,NA,NA,NA,11
"44","PERPER",-100,-100,0.384615384615385,0.454545454545455,0,0.384615384615385,0.181818181818182,0,0,0.272727272727273,0,NA,NA,NA,NA,NA,NA,10
"45","PHACOL",Inf,-34,0,0.867676767676768,0.571428571428571,0,0.272727272727273,0.428571428571429,0,0.272727272727273,0.142857142857143,NA,NA,NA,NA,NA,NA,13
