Lajinumero,Lajinimi,Lajilyhenne,Korkea prioriteetti,Kirjoittaja,Aineistoversio,Vuosi,Kuvaaja,Päivämäärä,"Kuvauspaikka (Halias, ellei toisin mainittu)",Viety
1,kyhmyjoutsen,CYGOLO,,,,,Jonne von Hertzen,25.01.2018,,
2,pikkujoutsen,CYGCOL,,,,,,,,
3,laulujoutsen,CYGCYG,,,,,Jonne von Hertzen,27.01.2018,,
4,metsähanhi,ANSFAB,,Aki Aintila,1.1.,2019,,,,
5,lyhytnokkahanhi,ANSBRA,,,,,,,,
6,tundrahanhi,ANSALB,,Aki Aintila,1.1.,2019,,,,
7,kiljuhanhi,ANSERY,,,,,Aleksi Lehikoinen,23.04.2012,"Helsinki, Korkeasaari",
8,merihanhi,ANSANS,K,Aki Aintila,1.1.,2019,Jonne von Hertzen,03.04.2018,,
9,lumihanhi,ANSCAE,,,,,Aleksi Mikola,23.05.2013,,
10,kanadanhanhi,BRACAN,,Aki Aintila,1.1.,2019,,,,
11,valkoposkihanhi,BRALEU,K,Aki Aintila,1.1.,2019,Aleksi Lehikoinen,19.05.2017,,
12,sepelhanhi,BRABER,,Aki Aintila,1.1.,2019,Aleksi Lehikoinen,02.06.2018,,
13,punakaulahanhi,BRARUF,,,,,,,,
14,ruostesorsa,TADFER,,,,,Jarkko Santaharju,16.08.2017,,
15,ristisorsa,TADTAD,,,,,Pasi Pirinen,20.04.2003,,
16,mandariinisorsa,AIXGAL,,,,,Petri Clusius,,,
17,haapana,ANAPEN,K,,,,Aleksi Lehikoinen,04.05.2009,,
18,harmaasorsa,ANASTR,,,,,,,,
19,tavi,ANACRE,,,,,,,,
20,sinisorsa,ANAPLA,K,,,,Petteri Lehikoinen,07.04.2006,,
21,jouhisorsa,ANAACU,,,,,Petteri Lehikoinen,09.04.2012,,
22,heinätavi,ANAQUE,,,,,Jarkko Santaharju,01.05.2014,,
23,lapasorsa,ANACLY,,,,,Aleksi Lehikoinen,22.04.2018,,
24,punasotka,AYTFER,,,,,,,,
25,amerikantukkasotka,AYTCOL,,,,,Aleksi Mikola,27.05.2012,,
26,tukkasotka,AYTFUL,K,Aki Aintila,1.1.,2019,Jonne von Hertzen,01.04.2018,,
27,lapasotka,AYTMAR,,Aki Aintila,1.1.,2019,Aleksi Lehikoinen,10.4.2009,,
28,punapäänarsku,NETRUF,,,,,,,,
29,haahka,SOMMOL,K,Aki Aintila,1.1.,2019,Jonne von Hertzen,,,x
30,kyhmyhaahka,SOMSPE,,,,,Mauri Leivo,29.03.2004,,
31,allihaahka,POLSTE,,,,,,,,
32,alli,CLAHYE,K,Aki Aintila,1.1.,2019,Jarkko Santaharju,31.10.2008,,
33,mustalintu,MELNIG,,,,,Aki Aintila,25.07.2014,"Viro, Spithami",
34,pilkkaniska,MELPER,,,,,,,,
35,pilkkasiipi,MELFUS,,,,,Aki Aintila,19.07.2014,"Viro, Spithami",
36,kyhmypilkkasiipi,MELDEG,,,,,Janne Riihimäki,30.05.2012,,
37,telkkä,BUCCLA,K,Aki Aintila,1.1.,2019,Aleksi Lehikoinen,10.04.2011,,
38,uivelo,MERALB,,,,,Petteri Lehikoinen,06.04.2007,,
39,tukkakoskelo,MERSER,,Aki Aintila,1.1.,2019,Aleksi Lehikoinen,31.3.2018,,
40,isokoskelo,MERMER,K,Aki Aintila,1.1.,2019,Jonne von Hertzen,04.04.2018,,
41,viiriäinen,COTCOT,,,,,,,,
42,pyy,TETBON,,,,,,,,
43,teeri,TETRIX,,,,,Dick Forsman,04.05.2014,,
44,metso,TETURO,,,,,Jarkko Santaharju,02.05.2009,Hanko,
45,peltopyy,PERPER,,,,,Aleksi Lehikoinen,,,
46,fasaani,PHACOL,,,,,,,,
47,kaakkuri,GAVSTE,,,,,,,,
48,kuikka,GAVARC,K,,,,Jarkko Santaharju,22.04.2013,,
49,amerikanjääkuikka,GAVIMM,,,,,,,,
50,jääkuikka,GAVADA,,,,,,,,
51,pikku-uikku,TACRUF,,,,,Petteri Hytönen,02.11.2008,,
52,silkkiuikku,PODCRI,,,,,,,,
53,härkälintu,PODGRI,,,,,Annika Forstén,31.08.2017,,
54,mustakurkku-uikku,PODAUR,,,,,Aki Aintila,30.4.2017,Eckerö,
55,merimetso,PHACAR,,,,,Markus Varesvuo,26.09.2006,,
